SampleID;Abramis brama;Apocorophium lacustre;Asellus aquaticus;Bathyporeia pilosa;Corophium volutator;Crangon;Cyathura carinata;Dicentrarchus labrax;Eurydice pulchra;Gammarus tigrinus;Gammarus zaddachi;Gasterosteus aculeatus;Incisocalliope aestuarius;Lekanesphaera rugicauda;Limnomysis benedeni;Liza ramada;Melita nitida;Mesopodopsis;Neomysis americana;Neomysis_int;Osmerus;Palaemon;Perca fluviatilis;Platichthys;Pomatoschistus;Pseudorasbora parva;Rhodeus amarus;Rutilus rutilus;Sander lucioperca;Syngnathus rostellatus;Synidotea laticauda
802;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;7;0;0;8;0;0;1;0;0;0
803;0;0;0;0;0;0;0;0;0;0;5;1;0;0;1;3;0;0;0;3;0;0;0;0;5;0;0;0;0;0;0
805;2;0;0;0;0;0;0;0;0;2;1;2;0;0;0;14;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
806;0;0;0;0;70;89;4;0;0;0;0;0;0;0;0;2;0;0;5;17;0;0;0;0;1;0;0;0;0;1;3
807;0;1;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
804;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;31;0;0;0;0;0;0;0;0;0;0;2
808;0;0;0;18;0;0;0;0;0;10;0;0;0;0;3;3;0;0;0;89;5;0;0;0;15;1;0;0;0;0;0
809;0;0;0;1;0;0;0;0;0;0;2;2;0;0;5;59;0;0;0;3;0;0;0;0;4;0;0;0;0;0;0
811;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
812;0;0;0;0;172;130;29;0;2;0;0;0;0;0;3;2;0;0;0;13;0;0;0;0;6;0;0;0;0;0;3
813;0;0;0;581;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;82;0;0;0;0;3;0;0;0;0;0;0
810;1;0;0;0;0;2;0;0;0;0;0;0;0;1;2;5;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0
820;0;64;0;73;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0
821;0;0;0;0;0;0;0;0;0;5;2;1;0;0;14;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
822;0;0;0;0;0;0;0;0;0;6;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
824;0;0;0;0;9;10;1;0;0;3;0;1;4;0;10;0;5;0;0;121;0;0;0;0;1;0;0;0;0;0;3
825;0;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
823;5;3;0;2;0;0;0;0;0;2;2;0;0;0;5;0;0;0;0;75;0;0;0;0;0;0;0;0;0;0;0
826;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
827;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
828;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
831;0;0;0;1;55;21;0;0;0;0;0;1;0;0;0;0;0;0;0;163;0;0;0;0;5;0;0;0;0;0;1
830;0;0;0;26;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
829;0;4;0;2;1;0;1;0;0;4;27;0;0;0;7;0;0;0;0;124;0;0;0;0;0;1;0;0;0;0;0
832;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
833;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
834;7;0;0;0;0;0;0;0;0;6;20;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0
837;0;0;0;0;40;337;1;0;0;0;0;0;0;2;0;0;0;0;0;13;1;0;0;6;1;0;0;0;0;0;2
836;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
835;2;0;0;0;1;0;0;0;0;0;0;1;0;0;5;0;0;0;0;100;0;0;0;0;0;3;0;0;0;0;0
838;0;0;0;9;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;7;18;0;0;49;0;0;0;0;0;0;0
839;0;0;0;0;0;0;0;0;0;0;27;0;0;0;2;0;0;0;0;0;215;0;0;486;0;0;0;0;0;0;0
842;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;52;0;0;623;0;0;0;0;0;0;0
840;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;23;0;0;46;0;0;0;0;0;0;0
841;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;16;9;0;0;15;0;0;0;0;0;0;0
844;0;0;0;12;0;1;0;1;0;4;1;0;0;0;0;0;0;0;0;43;403;0;0;23;0;0;0;0;0;0;0
845;0;0;0;0;0;0;0;3;0;0;5;2;0;0;0;0;0;0;0;0;1;0;0;27;0;0;0;0;13;0;0
846;0;0;0;0;0;0;0;10;0;3;29;0;0;0;0;0;0;0;0;1;45;0;0;75;0;0;0;0;25;0;0
849;0;0;0;8;640;4632;40;0;0;0;1;0;0;0;0;0;16;144;160;256;0;0;0;46;0;0;0;0;0;1;10
848;0;0;1;11;0;0;1;5;0;10;5;0;0;0;0;0;0;0;0;64;75;0;0;16;1;0;0;0;0;0;0
847;0;0;0;0;0;172;0;0;0;0;1;0;0;0;0;0;0;6;0;487;0;0;0;20;0;0;0;0;0;0;0
850;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;470;3;0;0;0;1;0;0;0;0;0;0
851;0;0;0;0;0;0;0;3;0;0;47;2;0;0;0;0;0;0;0;0;9;0;0;265;0;0;0;0;0;0;0
